row_id,intent,twin_row_id,twin_intent,similarity
10332,create_account,21096,registration_problems,0.962
21096,registration_problems,10332,create_account,0.962
21728,registration_problems,10145,create_account,0.961
10145,create_account,21728,registration_problems,0.961
25979,track_refund,16103,get_refund,0.96
16103,get_refund,25979,track_refund,0.96
15185,get_invoice,4015,check_invoice,0.949
4015,check_invoice,15185,get_invoice,0.949
14918,get_invoice,4220,check_invoice,0.948
4220,check_invoice,14918,get_invoice,0.948
4728,check_invoice,15047,get_invoice,0.948
15212,get_invoice,4015,check_invoice,0.948
15047,get_invoice,4728,check_invoice,0.948
26056,track_refund,16028,get_refund,0.945
16028,get_refund,26056,track_refund,0.945
26151,track_refund,16028,get_refund,0.945
26369,track_refund,16103,get_refund,0.943
25921,track_refund,16103,get_refund,0.943
14901,get_invoice,3975,check_invoice,0.943
3975,check_invoice,14901,get_invoice,0.943
4616,check_invoice,15403,get_invoice,0.941
15403,get_invoice,4616,check_invoice,0.941
4866,check_invoice,15107,get_invoice,0.94
15107,get_invoice,4866,check_invoice,0.94
26398,track_refund,16103,get_refund,0.939
779,cancel_order,1223,change_order,0.938
1223,change_order,779,cancel_order,0.938
15200,get_invoice,4569,check_invoice,0.937
4569,check_invoice,15200,get_invoice,0.937
4297,check_invoice,15755,get_invoice,0.936
15755,get_invoice,4297,check_invoice,0.936
14959,get_invoice,4382,check_invoice,0.935
4382,check_invoice,14959,get_invoice,0.935
4587,check_invoice,15170,get_invoice,0.933
15170,get_invoice,4587,check_invoice,0.933
15788,get_invoice,4728,check_invoice,0.933
15708,get_invoice,4220,check_invoice,0.932
16029,get_refund,26472,track_refund,0.931
26472,track_refund,16029,get_refund,0.931
4317,check_invoice,14988,get_invoice,0.93
4243,check_invoice,15018,get_invoice,0.93
4868,check_invoice,15004,get_invoice,0.93
4129,check_invoice,15329,get_invoice,0.93
15329,get_invoice,4129,check_invoice,0.93
15004,get_invoice,4868,check_invoice,0.93
14988,get_invoice,4317,check_invoice,0.93
15018,get_invoice,4243,check_invoice,0.93
13918,edit_account,23946,switch_account,0.929
4848,check_invoice,15815,get_invoice,0.929
4460,check_invoice,15055,get_invoice,0.929
4100,check_invoice,15788,get_invoice,0.929
23946,switch_account,13918,edit_account,0.929
15815,get_invoice,4848,check_invoice,0.929
15055,get_invoice,4460,check_invoice,0.929
4680,check_invoice,14959,get_invoice,0.928
370,cancel_order,1226,change_order,0.928
1226,change_order,370,cancel_order,0.928
15177,get_invoice,4616,check_invoice,0.927
15037,get_invoice,4243,check_invoice,0.927
15010,get_invoice,4001,check_invoice,0.926
15566,get_invoice,4079,check_invoice,0.926
15585,get_invoice,4812,check_invoice,0.926
4001,check_invoice,15010,get_invoice,0.926
1076,change_order,910,cancel_order,0.926
910,cancel_order,1076,change_order,0.926
